Wavelength (nm),500ppb_500ms
282.69,21.32
282.82,22.33
282.96,25.34
283.09,27.35
283.22,28.35
283.35,27.36
283.48,19.37
283.62,20.38
283.75,23.39
283.88,30.40
284.01,21.41
284.14,20.42
284.28,36.42
284.41,24.43
284.54,22.44
284.67,39.45
284.81,32.46
284.94,27.47
285.07,22.48
285.20,27.48
285.33,23.49
285.47,16.50
285.60,20.51
285.73,33.52
285.86,38.53
286.00,29.53
286.13,19.54
286.26,24.55
286.39,24.56
286.52,22.57
286.66,23.58
286.79,27.58
286.92,32.59
287.05,31.60
287.19,29.61
287.32,22.62
287.45,18.62
287.58,26.63
287.71,28.64
287.85,10.65
287.98,15.66
288.11,20.67
288.24,14.67
288.38,27.68
288.51,35.69
288.64,32.70
288.77,34.71
288.91,22.71
289.04,22.72
289.17,33.73
289.30,36.74
289.44,45.74
289.57,36.75
289.70,21.76
289.83,29.77
289.97,28.78
290.10,28.78
290.23,29.79
290.36,25.80
290.49,29.81
290.63,23.81
290.76,24.82
290.89,34.83
291.02,21.84
291.16,29.84
291.29,16.85
291.42,14.86
291.55,27.87
291.69,30.87
291.82,38.88
291.95,43.89
292.08,34.90
292.22,32.90
292.35,35.91
292.48,28.92
292.62,27.93
292.75,37.93
292.88,42.94
293.01,39.95
293.15,38.96
293.28,41.96
293.41,33.97
293.54,31.98
293.68,29.98
293.81,32.99
293.94,45.00
294.07,48.01
294.21,40.01
294.34,36.02
294.47,39.03
294.60,44.03
294.74,46.04
294.87,47.05
295.00,44.06
295.14,44.06
295.27,43.07
295.40,41.08
295.53,31.08
295.67,35.09
295.80,48.10
295.93,48.10
296.06,45.11
296.20,53.12
296.33,53.13
296.46,47.13
296.60,29.14
296.73,37.15
296.86,36.15
296.99,33.16
297.13,34.17
297.26,40.17
297.39,40.18
297.53,46.19
297.66,41.19
297.79,41.20
297.92,26.21
298.06,21.21
298.19,29.22
298.32,28.23
298.46,34.23
298.59,34.24
298.72,19.25
298.85,26.25
298.99,39.26
299.12,28.27
299.25,18.27
299.39,28.28
299.52,33.29
299.65,16.29
299.78,22.30
299.92,47.30
300.05,43.31
300.18,37.32
300.32,42.32
300.45,34.33
300.58,22.34
300.72,30.34
300.85,23.35
300.98,23.36
301.11,29.36
301.25,26.37
301.38,20.37
301.51,32.38
301.65,39.39
301.78,30.39
301.91,25.40
302.05,30.41
302.18,29.41
302.31,36.42
302.45,31.42
302.58,32.43
302.71,31.44
302.84,27.44
302.98,20.45
303.11,28.46
303.24,30.46
303.38,29.47
303.51,27.47
303.64,27.48
303.78,33.49
303.91,41.49
304.04,36.50
304.18,29.50
304.31,31.51
304.44,37.52
304.58,28.52
304.71,26.53
304.84,26.53
304.98,32.54
305.11,35.54
305.24,26.55
305.38,27.56
305.51,40.56
305.64,28.57
305.78,22.57
305.91,34.58
306.04,41.59
306.18,35.59
306.31,28.60
306.44,28.60
306.58,28.61
306.71,40.61
306.84,42.62
306.98,33.63
307.11,28.63
307.24,27.64
307.38,34.64
307.51,40.65
307.64,37.65
307.78,33.66
307.91,34.66
308.04,39.67
308.18,33.68
308.31,31.68
308.44,37.69
308.58,32.69
308.71,29.70
308.84,28.70
308.98,36.71
309.11,41.71
309.24,43.72
309.38,30.73
309.51,30.73
309.64,40.74
309.78,42.74
309.91,36.75
310.04,39.75
310.18,40.76
310.31,43.76
310.44,41.77
310.58,42.77
310.71,38.78
310.85,52.78
310.98,55.79
311.11,38.80
311.25,40.80
311.38,38.81
311.51,46.81
311.65,51.82
311.78,52.82
311.91,57.83
312.05,50.83
312.18,51.84
312.32,52.84
312.45,46.85
312.58,51.85
312.72,46.86
312.85,46.86
312.98,54.87
313.12,58.87
313.25,63.88
313.38,81.88
313.52,80.89
313.65,70.89
313.79,71.90
313.92,73.90
314.05,72.91
314.19,68.91
314.32,72.92
314.45,71.92
314.59,68.93
314.72,69.93
314.86,71.94
314.99,64.94
315.12,63.95
315.26,80.95
315.39,80.96
315.52,58.96
315.66,69.97
315.79,83.97
315.93,81.98
316.06,80.98
316.19,80.99
316.33,78.99
316.46,88.00
316.60,91.00
316.73,83.01
316.86,80.01
317.00,94.02
317.13,106.02
317.26,103.03
317.40,100.03
317.53,104.04
317.67,107.04
317.80,112.04
317.93,107.05
